fact_id,fact
1,"A goldfish's attention span is three seconds."
2,"Animals that lay eggs don't have belly buttons."
3,"Beavers can hold their breath for 45 minutes under water."
4,"Slugs have four noses."
5,"Camels have three eyelids."
6,"A honey bee can fly at 15 miles per hour."
7,"A queen bee can lay 800-1,500 eggs per day."
8,"A bee has five eyes."
9,"The average speed of a housefly is 4.5 mph."
10,"Mosquitoes are attracted to people who just ate bananas."
11,"Flamingos are pink because they eat shrimp."
12,"Emus and kangaroos cannot walk backward."
13,"Cats have over 100 vocal chords."
14,"Cats sleep 16 hours of the day."
15,"A cat has 32 muscles in each ear."
16,"A cat's jaw cannot move sideways."
17,"A cat's nose pad is as unique as a human's fingerprint."
18,"Dalmatians are born without spots."
19,"Dogs and cats consume almost $7 billion worth of pet food a year."
20,"The largest dog was an English Mastiff which weighed 343 pounds."
21,"All polar bears are left-handed."
22,"Elephants are the only mammals that cannot jump."
23,"Elephants sleep standing up."
24,"It is physically impossible for pigs to look up into the sky."
25,"The fingerprints of koala bears are virtually indistinguishable from those of humans."
26,"Snails can sleep for 3 years without eating."
27,"Starfish have no brains."
28,"Slugs have 4 noses."
29,"Only female mosquitoes bite."
30,"Mosquitoes have 47 teeth."
31,"The average person walks the equivalent of three times around the world in a lifetime."
32,"The average person falls asleep in seven minutes."
33,"A person will die from total lack of sleep sooner than from starvation."
34,"Most of the dust particles in your house are dead skin."
35,"The average person has over 1,460 dreams a year."
36,"The average cough comes out at 60 mph."
37,"Every time you lick a stamp, you consume 1/10 of a calorie."
38,"The human body uses 300 muscles to balance itself when standing still."
39,"The human brain has the capacity to store everything you experience."
40,"The average person has about 1,460 dreams per year."
41,"The world's oldest piece of chewing gum is 9,000 years old."
42,"The longest recorded flight of a chicken is 13 seconds."
43,"Giraffes and rats can last longer without water than camels."
44,"Chewing gum while peeling onions prevents tears."
45,"The world's termites outweigh the world's humans 10 to 1."
46,"A cockroach can live for 9 days without its head before it starves to death."
47,"Butterflies taste with their feet."
48,"Elephants are the only animals that can't jump."
49,"A snail can sleep for 3 years."
50,"An ostrich's eye is bigger than its brain."
51,"Starfish have no brains."
52,"Polar bears are left-handed."
53,"China has more English speakers than the United States."
54,"The average lead pencil can draw a line 35 miles long or write approximately 50,000 English words."
55,"The Taj Mahal was actually built for use as a tomb."
56,"The longest recorded flight of a chicken is 13 seconds."
57,"The penguin is the only bird that can swim but cannot fly."
58,"Most lipstick contains fish scales."
59,"The longest one-syllable word in the English language is 'screeched.'"
60,"No word in the English language rhymes with 'month.'"
61,"There are more chickens than people in the world."
62,"The Hawaiian alphabet has only 12 letters."
63,"'Dreamt' is the only English word that ends in 'mt.'"
64,"A 'jiffy' is an actual unit of time: 1/100th of a second."
65,"The only food that doesn't spoil is honey."
66,"The only continent without native reptiles or snakes is Antarctica."
67,"The plastic things on the end of shoelaces are called aglets."
68,"The dot over the letter 'i' is called a tittle."
69,"A raisin dropped in a glass of fresh champagne will bounce up and down continuously."
70,"The name Wendy was made up for the book 'Peter Pan.'"
71,"The international telephone dialing code for Antarctica is 672."
72,"The Grand Canyon can hold around 900 trillion footballs."
73,"All the planets in our solar system rotate counterclockwise, except Venus."
74,"Cockroaches can live without their heads for weeks."
75,"Venus is the only planet that rotates clockwise."
76,"Almonds are a member of the peach family."
77,"Maine is the only state in the United States whose name has just one syllable."
78,"There are more stars in the universe than grains of sand on all the beaches on Earth."
79,"A pineapple is actually a berry."
80,"Reindeer like bananas."
81,"The inventor of the flushing toilet was Thomas Crapper."
82,"Leonardo da Vinci could write with one hand and draw with the other at the same time."
83,"Percentage of Africa that is wilderness: 28%."
84,"Percentage of North America that is wilderness: 38%."
85,"Amount of water used by the average person in the shower: 15 gallons."
86,"A rainbow can be seen only in the morning or late afternoon."
87,"The Hawaiian alphabet has 12 letters."
88,"Men get hiccups more often than women."
89,"A shark is the only fish that can blink with both eyes."
90,"There are more chickens than people in the world."
91,"The longest word in the English language is 'pneumonoultramicroscopicsilicovolcanoconiosis.'"
92,"A cat has 32 muscles in each ear."
93,"A giraffe can clean its ears with its 21-inch tongue."
94,"Every person has a unique tongue print."
95,"The shortest war in history was between Zanzibar and England in 1896. Zanzibar surrendered after 38 minutes."
96,"You were born with 300 bones, but by adulthood you only have 206."
97,"Cats have over 100 vocal sounds; dogs only have about 10."
98,"Our eyes remain the same size from birth onward, but our nose and ears never stop growing."
99,"The Statue of Liberty's index finger is eight feet long."
100,"The Atlantic Ocean is saltier than the Pacific Ocean."
101,"The pupil of an octopus's eye is rectangular."
102,"The heart of a shrimp is located in its head."
103,"A group of twelve or more cows is called a flink."
